CS:GO m0NESY,G2 @ FAZE, Mon 10:00AM,15.5 Headshots on Maps 1+2
CS:GO NiKo (G2),G2 @ FAZE, Mon 10:00AM,40.0 Kills on Map 1+2
CS:GO NiKo (G2),G2 @ FAZE, Mon 10:00AM,21.5 Headshots on Maps 1+2
CS:GO huNter-,G2 @ FAZE, Mon 10:00AM,36.5 Kills on Map 1+2
CS:GO huNter-,G2 @ FAZE, Mon 10:00AM,18.5 Headshots on Maps 1+2
CS:GO jks,G2 @ FAZE, Mon 10:00AM,34.0 Kills on Map 1+2
CS:GO jks,G2 @ FAZE, Mon 10:00AM,19.0 Headshots on Maps 1+2
CS:GO HooXi,G2 @ FAZE, Mon 10:00AM,26.5 Kills on Map 1+2
CS:GO HooXi,G2 @ FAZE, Mon 10:00AM,14.0 Headshots on Maps 1+2
CS:GO ropz,FAZE vs G2, Mon 10:00AM,39.5 Kills on Map 1+2
CS:GO ropz,FAZE vs G2, Mon 10:00AM,21.5 Headshots on Maps 1+2
CS:GO broky,FAZE vs G2, Mon 10:00AM,38.5 Kills on Map 1+2
CS:GO broky,FAZE vs G2, Mon 10:00AM,13.0 Headshots on Maps 1+2
CS:GO rain,FAZE vs G2, Mon 10:00AM,34.5 Kills on Map 1+2
CS:GO rain,FAZE vs G2, Mon 10:00AM,19.5 Headshots on Maps 1+2
CS:GO Twistzz,FAZE vs G2, Mon 10:00AM,37.0 Kills on Map 1+2
CS:GO Twistzz,FAZE vs G2, Mon 10:00AM,20.0 Headshots on Maps 1+2
CS:GO karrigan,FAZE vs G2, Mon 10:00AM,27.5 Kills on Map 1+2
CS:GO karrigan,FAZE vs G2, Mon 10:00AM,12.5 Headshots on Maps 1+2
CS:GO device,ASTR @ NIP, Mon 10:00AM,40.0 Kills on Map 1+2
CS:GO device,ASTR @ NIP, Mon 10:00AM,13.0 Headshots on Maps 1+2
CS:GO blameF,ASTR @ NIP, Mon 10:00AM,38.5 Kills on Map 1+2
CS:GO blameF,ASTR @ NIP, Mon 10:00AM,14.5 Headshots on Maps 1+2
CS:GO Staehr,ASTR @ NIP, Mon 10:00AM,34.0 Kills on Map 1+2
CS:GO Staehr,ASTR @ NIP, Mon 10:00AM,18.0 Headshots on Maps 1+2
CS:GO b0RUP,ASTR @ NIP, Mon 10:00AM,33.0 Kills on Map 1+2
CS:GO b0RUP,ASTR @ NIP, Mon 10:00AM,20.0 Headshots on Maps 1+2
CS:GO Buzz,ASTR @ NIP, Mon 10:00AM,32.0 Kills on Map 1+2
CS:GO Buzz,ASTR @ NIP, Mon 10:00AM,16.0 Headshots on Maps 1+2
CS:GO headtr1ck,NIP vs ASTR, Mon 10:00AM,37.5 Kills on Map 1+2
CS:GO headtr1ck,NIP vs ASTR, Mon 10:00AM,10.5 Headshots on Maps 1+2
CS:GO k0nfig,NIP vs ASTR, Mon 10:00AM,37.5 Kills on Map 1+2
CS:GO k0nfig,NIP vs ASTR, Mon 10:00AM,21.5 Headshots on Maps 1+2
CS:GO REZ,NIP vs ASTR, Mon 10:00AM,33.0 Kills on Map 1+2
CS:GO REZ,NIP vs ASTR, Mon 10:00AM,16.5 Headshots on Maps 1+2
CS:GO Brollan,NIP vs ASTR, Mon 10:00AM,34.5 Kills on Map 1+2
CS:GO Brollan,NIP vs ASTR, Mon 10:00AM,19.0 Headshots on Maps 1+2
CS:GO hampus,NIP vs ASTR, Mon 10:00AM,32.5 Kills on Map 1+2
CS:GO hampus,NIP vs ASTR, Mon 10:00AM,11.0 Headshots on Maps 1+2
CS:GO dexter,FNC @ GL, Mon 1:30PM,32.0 Kills on Map 1+2
CS:GO dexter,FNC @ GL, Mon 1:30PM,16.0 Headshots on Maps 1+2
CS:GO afro,FNC @ GL, Mon 1:30PM,42.0 Kills on Map 1+2
